Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1763042235,50,,Aggregated,12.600000,10.000000,5,10,22,23,33,49,150,14000,25000,25000,25000,778,578,5,244.42594388560764,2.04382800006897,24949.576884000067,1256.9318766066838
1763042236,50,,Aggregated,12.800000,10.100000,5,9,22,23,33,49,150,14000,27000,27000,27000,786,582,5,276.8641706832097,2.04382800006897,27406.268607000016,1246.4262086513995
1763042237,50,,Aggregated,13.400000,10.300000,5,9,22,23,32,49,150,14000,27000,27000,27000,796,590,5,273.4315802098025,2.04382800006897,27406.268607000016,1232.4685929648242
1763042238,50,,Aggregated,12.200000,9.100000,5,9,21,23,32,48,150,14000,27000,27000,27000,803,594,5,271.1049658368652,2.04382800006897,27406.268607000016,1223.0722291407224
1763042239,50,,Aggregated,11.800000,8.700000,5,9,22,23,33,49,150,14000,30000,30000,30000,807,597,5,307.5965354188384,2.04382800006897,30448.575708999895,1243.6592317224288
1763042240,50,,Aggregated,11.200000,8.300000,5,9,22,23,32,49,150,14000,30000,30000,30000,812,601,5,305.723781796801,2.04382800006897,30448.575708999895,1236.834975369458
1763042241,50,,Aggregated,10.700000,7.500000,5,9,21,23,32,49,150,14000,30000,30000,30000,818,607,5,303.52680076895166,2.04382800006897,30448.575708999895,1228.5256723716382
1763042242,50,,Aggregated,9.800000,6.900000,5,9,21,23,32,48,150,14000,30000,30000,30000,825,611,5,301.01921942424525,2.04382800006897,30448.575708999895,1219.4133333333334
1763042243,50,,Aggregated,9.000000,6.300000,5,9,21,23,32,48,150,14000,30000,30000,30000,830,615,5,299.222417853015,2.04382800006897,30448.575708999895,1212.8831325301205
1763042244,50,,Aggregated,9.000000,6.500000,5,8,21,23,32,48,150,14000,30000,30000,30000,840,623,5,295.6926185333362,2.04382800006897,30448.575708999895,1200.0559523809525
1763042245,50,,Aggregated,8.600000,5.900000,5,8,21,23,32,48,150,14000,30000,30000,30000,842,623,5,295.02700553325707,2.04382800006897,30448.575708999895,1197.686460807601
1763042246,50,,Aggregated,8.600000,5.900000,5,8,21,23,32,48,150,14000,30000,30000,30000,842,623,5,295.02700553325707,2.04382800006897,30448.575708999895,1197.686460807601
1763042247,50,,Aggregated,8.600000,5.900000,5,8,21,23,32,48,150,14000,30000,30000,30000,842,623,5,295.02700553325707,2.04382800006897,30448.575708999895,1197.686460807601
1763042248,50,,Aggregated,8.600000,5.900000,5,8,21,23,32,48,150,14000,30000,30000,30000,842,623,5,295.02700553325707,2.04382800006897,30448.575708999895,1197.686460807601
1763042249,50,,Aggregated,8.600000,5.900000,5,8,21,23,32,48,150,14000,30000,30000,30000,842,623,5,295.02700553325707,2.04382800006897,30448.575708999895,1197.686460807601
1763042250,50,,Aggregated,4.600000,3.300000,5,8,21,23,32,48,150,17000,40000,40000,40000,843,623,5,342.65393833333616,2.04382800006897,40444.53135599997,1199.2775800711743
1763042251,50,,Aggregated,3.900000,2.900000,5,8,21,23,32,48,150,17000,40000,40000,40000,846,626,5,341.468240074471,2.04382800006897,40444.53135599997,1195.3936170212767
1763042252,50,,Aggregated,3.500000,2.600000,5,9,21,23,32,48,150,17000,40000,40000,40000,849,629,5,340.37372132862487,2.04382800006897,40444.53135599997,1215.170789163722
